#rank,UTF8,SJIS,EUCJP
1,E4B896,C0A4,90A2
1,E383B4,A5F4,8394
1,E980A3,CFA2,9841
1,E585A8,C1B4,9153
1,E694BE,CAFC,95FA
1,E383AF,A5EF,838F
1,E4BD93,C2CE,91CC
1,E6988E,CCC0,96BE
1,E79A84,C5AA,9349
1,E69BB8,BDF1,8F91
1,E5B9B3,CABF,95BD
1,E382B1,A5B1,8350
1,E795AA,C8D6,94D4
1,E9A0BC,CDEA,978A
1,E5BC8F,BCB0,8EAE
1,E5BAA6,C5D9,9378
1,E58C97,CBCC,966B
1,E8AA9E,B8EC,8CEA
1,E585A5,C6FE,93FC
1,E6A99F,B5A1,8B40
1,E5A496,B3B0,8A4F
1,E5898A,BAEF,8DED
1,E58E9F,B8B6,8CB4
1,E5A5B3,BDF7,8F97
1,E4B889,BBB0,8E4F
1,E8A8AD,C0DF,90DD
1,E4BE9D,B0CD,88CB
1,E6B5B7,B3A4,8A43
1,E8A9B1,CFC3,9862
1,E78FBE,B8BD,8CBB
1,E58CBA,B6E8,8BE6
1,E5BD93,C5F6,9396
1,E5AFBE,C2D0,91CE
1,E382B4,A5B4,8353
1,E695B0,BFF4,9094
1,E4BD8D,B0CC,88CA
1,E58C96,B2BD,89BB
1,E382A9,A5A9,8348
1,E7A59E,BFC0,905F
1,E69BB2,B6CA,8BC8
1,E789B9,C6C3,93C1
1,E79086,CDFD,979D
1,E59CA8,BADF,8DDD
1,E381B0,A4D0,82CE
1,E38198,A4B8,82B6
1,E69599,B6B5,8BB3
1,E6B395,CBA1,9640
1,E78988,C8C7,94C5
1,E8A68B,B8AB,8CA9
1,E7B584,C1C8,9167
1,E680A7,C0AD,90AB
1,E8A5BF,C0BE,90BC
1,E6B0B4,BFE5,9085
1,E8ADB0,B5C4,8B63
1,E4BBA5,B0CA,88C8
1,E7B7A8,CAD4,95D2
1,E69C80,BAC7,8DC5
1,E5889D,BDE9,8F89
1,E983BD,C5D4,9373
1,E98984,C5B4,9353
1,E69CA8,CCDA,96D8
1,E69C9F,B4FC,8AFA
1,E6BC94,B1E9,8989
1,E3839B,A5DB,837A
1,E8A681,CDD7,9776
1,E382AE,A5AE,834D
1,E8BAAB,BFC8,9067
1,E8BB8D,B7B3,8C52
1,E382B6,A5B6,8355
1,E6ADA3,C0B5,90B3
1,E58A9B,CECF,97CD
1,E593A1,B0F7,88F5
1,E98791,B6E2,8BE0
1,E381B3,A4D3,82D1
1,E59381,C9CA,9569
1,E382B2,A5B2,8351
1,E7B58C,B7D0,8C6F
1,E5AE9F,BCC2,8EC0
1,E698A0,B1C7,8966
1,E5838F,C1FC,919C
1,E5B79E,BDA3,8F42
1,E58AA0,B2C3,89C1
1,E6B2BB,BCA3,8EA1
1,E58583,B8B5,8CB3
1,E58B9D,BEA1,8F9F
1,E6B091,CCB1,96AF
1,E588A5,CACC,95CA
1,E5A49A,C2BF,91BD
1,E99B86,BDB8,8F57
1,E99BBB,C5C5,9364
1,E694BF,C0AF,90AD
1,E6B3A8,C3ED,928D
1,E782B9,C5C0,935F
1,E58D97,C6EE,93EC
1,E584AA,CDA5,9744
1,E7AD89,C5F9,9399
1,E3819A,A4BA,82B8
1,E6A5BD,B3DA,8A79
1,E4BA8C,C6F3,93F1
1,E588B6,C0A9,90A7
1,E7A9BA,B6F5,8BF3
1,E78E8B,B2A6,89A4
1,E4BDBF,BBC8,8E67
1,E58F82,BBB2,8E51
1,E5A0B1,CAF3,95F1
1,E99DA2,CCCC,96CA
1,E7BE8E,C8FE,94FC
1,E383A4,A5E4,8384
1,E58FA3,B8FD,8CFB
1,E8B39E,BEDE,8FDC
1,E58FB2,BBCB,8E6A
1,E7958C,B3A6,8A45
1,E5BDA2,B7C1,8C60
1,E585B1,B6A6,8BA4
1,E5B2A1,B2AC,89AA
1,E8A880,B8C0,8CBE
1,E8AB96,CFC0,985F
1,E4BA95,B0E6,88E4
1,E79FA5,C3CE,926D
1,E7A791,B2CA,89C8
1,E99FB3,B2BB,89B9
1,E3828D,A4ED,82EB
1,E5A4A9,C5B7,9356
1,E7BDAE,C3D6,9275
1,E381BB,A4DB,82D9
1,E4BF9D,CADD,95DB
1,E883BD,C7BD,945C
1,E88083,B9CD,8D6C
1,E6B097,B5A4,8B43
1,E5A3B2,C7E4,9484
1,E897A4,C6A3,93A1
1,E4BFA1,BFAE,904D
1,E58B99,CCB3,96B1
1,E5AD98,C2B8,91B6
1,E9878D,BDC5,8F64
1,E6ADB4,CEF2,97F0
1,E59BA3,C3C4,9263
1,E3809C,A1C1,8160
1,E7B590,B7EB,8C8B
1,E9A4A8,B4DB,8AD9
1,E58F96,BCE8,8EE6
1,E999A2,B1A1,8940
1,E38392,A5D2,8371
1,E69DBE,BEBE,8FBC
1,E6ACA1,BCA1,8E9F
1,E6A8A9,B8A2,8CA0
1,E58FB0,C2E6,91E4
1,E8B7AF,CFA9,9848
1,E4BB98,C9D5,9574
1,E983A1,B7B4,8C53
1,E69DA5,CDE8,9788
1,E4B88D,C9D4,9573
1,E68C87,BBD8,8E77
1,E6B4BB,B3E8,8A88
1,E8BBA2,C5BE,935D
1,E99A9B,BADD,8DDB
1,E7B3BB,B7CF,8C6E
1,E6848F,B0D5,88D3
1,E58FA4,B8C5,8CC3
1,E5A489,CAD1,95CF
1,E9818B,B1BF,895E
1,E5BDB9,CCF2,96F0
1,E98CB2,CFBF,985E
1,E9838E,CFBA,9859
1,E5B7A5,B9A9,8D48
1,E698AD,BEBC,8FBA
1,E69C89,CDAD,974C
1,E8AAAC,C0E2,90E0
1,E7A7B0,BECE,8FCC
1,E58F97,BCF5,8EF3
1,E5B180,B6C9,8BC7
1,E59E8B,B7BF,8C5E
1,E4BAA4,B8F2,8CF0
1,E5A3AB,BBCE,8E6D
1,E5A4AA,C2C0,91BE
1,E6AD8C,B2CE,89CC
1,E7B78F,C1ED,918D
1,E794B7,C3CB,926A
1,E5BA83,B9AD,8D4C
1,E68A80,B5BB,8B5A
1,E794A3,BBBA,8E59
1,E7B69A,C2B3,91B1
1,E5AEAE,B5DC,8B7B
1,E79083,B5E5,8B85
1,E8849A,B5D3,8B72
1,E79FB3,C0D0,90CE
1,E38398,A5D8,8377
1,E383A6,A5E6,8386
1,E69C9D,C4AB,92A9
1,E4BB96,C2BE,91BC
1,E6B1BA,B7E8,8C88
1,E585B8,C5B5,9354
1,E5B19E,C2B0,91AE
1,E5B18B,B2B0,89AE
1,E8A6A7,CDF7,9797
1,E59F8E,BEEB,8FE9
1,E8A888,B7D7,8C76
1,E8BF91,B6E1,8BDF
1,E784A1,CCB5,96B3
1,E7B582,BDAA,8F49
1,E799BB,C5D0,936F
1,E7A68F,CAA1,959F
1,E6849B,B0A6,88A4
1,E7BEA9,B5C1,8B60
1,E99A8A,C2E2,91E0
1,E5BE97,C6C0,93BE
1,E59C9F,C5DA,9379
1,E68C81,BBFD,8E9D
1,E58299,C8F7,94F5
1,E59C92,B1E0,8980
1,E7A094,B8A6,8CA4
1,E8A3BD,C0BD,90BB
1,E79C9F,BFBF,905E
1,E9A6AC,C7CF,946E
1,E5B48E,BAEA,8DE8
1,E59FBA,B4F0,8AEE
1,E7B5B1,C5FD,939D
1,E694B9,B2FE,89FC
1,E38192,A4B2,82B0
1,E5BA97,C5B9,9358
1,E9A18C,C2EA,91E8
1,E38280,A4E0,82DE
1,E7ABB6,B6A5,8BA3
1,E8A7A3,B2F2,89F0
1,E5AE89,B0C2,88C0
1,E381B2,A4D2,82D0
1,E9A085,B9E0,8D80
1,E68385,BEF0,8FEE
1,E79BB8,C1EA,918A
1,E8A193,BDD1,8F70
1,E5BA9C,C9DC,957B
1,E6ADA6,C9F0,9590
1,E88BB1,B1D1,8970
1,E998AA,BAE5,8DE3
1,E6A98B,B6B6,8BB4
1,E38286,A4E6,82E4
1,E980A0,C2A4,91A2
1,E8B0B7,C3AB,924A
1,E7A8AE,BCEF,8EED
1,E59F9F,B0E8,88E6
1,E882B2,B0E9,88E7
1,E794B1,CDB3,9752
1,E5A78B,BBCF,8E6E
1,E688B8,B8CD,8CCB
1,E5BBBA,B7FA,8C9A
1,E99680,CCE7,96E5
1,E58589,B8F7,8CF5
1,E383A8,A5E8,8388
1,E7A9B6,B5E6,8B86
1,E4BBBB,C7A4,9443
1,E6B581,CEAE,97AC
1,E591BD,CCBF,96BD
1,E381B5,A4D5,82D3
1,E980B2,BFCA,9069
1,E38085,A1B9,8158
1,E4BD90,BAB4,8DB2
1,E58F8E,BCFD,8EFB
