#rank,UTF8,SJIS,EUCJP
1,E697A9,C1E1,9181
1,E682AA,B0AD,88AB
1,E99A8E,B3AC,8A4B
1,E4BEA1,B2C1,89BF
1,E792B0,B4C4,8AC2
1,E2978B,A1FB,819B
1,E79FAD,C3BB,925A
1,E4BDB5,CABB,95B9
1,E38285,A4E5,82E3
1,E382BE,A5BE,835D
1,E784B6,C1B3,9152
1,E8B685,C4B6,92B4
1,E8AC9B,B9D6,8D75
1,E79599,CEB1,97AF
1,E68EA8,BFE4,9084
1,E381A5,A4C5,82C3
1,E8B7A1,C0D7,90D5
1,E5B0B1,BDA2,8F41
1,E6ADA9,CAE2,95E0
1,E5BA81,C4A3,92A1
1,E8AAB2,B2DD,89DB
1,E69D90,BAE0,8DDE
1,E794B2,B9C3,8D62
1,E99D99,C0C5,90C3
1,E896AC,CCF4,96F2
1,E8A487,CAA3,95A1
1,E8A9B2,B3BA,8A59
1,E5BDA6,C9A7,9546
1,E695B4,C0B0,90AE
1,E99DA9,B3D7,8A76
1,E5B185,B5EF,8B8F
1,E7ABB9,C3DD,927C
1,E5BCBE,C3C6,9265
1,E8BEB2,C7C0,945F
1,E98195,B0E3,88E1
1,E688BF,CBBC,965B
1,E38196,A4B6,82B4
1,E981BA,B0E4,88E2
1,E9A081,CAC7,95C5
1,E58D92,C2B4,91B2
1,E7A8BF,B9C6,8D65
1,E585AD,CFBB,985A
1,E589B2,B3E4,8A84
1,E99F93,B4DA,8AD8
1,E5B995,CBEB,968B
1,E3819E,A4BE,82BC
1,E6A5B5,B6CB,8BC9
1,E983B7,B6BF,8BBD
1,E7868A,B7A7,8C46
1,E981A0,B1F3,8993
1,E8B2A9,C8CE,94CC
1,E897A9,C8CD,94CB
1,E6A8A1,CCCF,96CD
1,E69DBF,C8C4,94C2
1,E69C9B,CBBE,965D
1,E383B6,A5F6,8396
1,E9A083,BAA2,8DA0
1,E79BA4,C8D7,94D5
1,E9BDA2,CEF0,97EE
1,E7ABAF,C3BC,925B
1,E6818B,CEF8,97F6
1,E5B084,BCCD,8ECB
1,E8ABB8,BDF4,8F94
1,E5BBB6,B1E4,8984
1,E887A3,BFC3,9062
1,E99B91,BBA8,8E47
1,E59BB2,B0CF,88CD
1,E68FB4,B1E7,8987
1,E99BA3,C6F1,93EF
1,E6A48D,BFA2,9041
1,E982A6,CBAE,964D
1,E4B883,BCB7,8EB5
1,E8A381,BADB,8DD9
1,E79B9F,CCC1,96BF
1,E7BEBD,B1A9,8948
1,E782BA,B0D9,88D7
1,E8AB87,C3CC,926B
1,E68CAF,BFB6,9055
1,E5A58F,C1D5,9174
1,E8B2B4,B5AE,8B4D
1,E6B8A9,B2B9,89B7
1,E8838C,C7D8,9477
1,E7B5B5,B3A8,8A47
1,E5B2B8,B4DF,8ADD
1,E79982,CEC5,97C3
1,E5AEBF,BDC9,8F68
1,E5BAB7,B9AF,8D4E
1,E5BC98,B9B0,8D4F
1,E5AF86,CCA9,96A7
1,E4BAA1,CBB4,9653
1,E69BBF,C2D8,91D6
1,E7B2BE,C0BA,90B8
1,E58AB9,B8FA,8CF8
1,E7BF92,BDAC,8F4B
1,E8B2A0,C9E9,9589
1,E4BD8E,C4E3,92E1
1,E4BFB3,C7D0,946F
1,E5838D,C6AF,93AD
1,E7AD96,BAF6,8DF4
1,E5BC9F,C4EF,92ED
1,E7A0B2,CBA4,9643
1,E9A48A,CDDC,977B
1,E681B5,B7C3,8C62
1,E5A99A,BAA7,8DA5
1,E5B290,B4F4,8AF2
1,E988B4,CEEB,97E9
1,E2809D,A1C9,8168
1,E88D89,C1F0,9190
1,E6B182,B5E1,8B81
1,E4B99F,CCE9,96E7
1,E69585,B8CE,8CCC
1,E8BCAA,CED8,97D6
1,E58891,B7BA,8C59
1,E5B8AD,C0CA,90C8
1,D0BE,A7E0,8480
1,E69EA0,CFC8,9867
1,E6B9BE,CFD1,9870
1,E6B2BF,B1E8,8988
1,D0B0,A7D1,8470
1,E4BCB4,C8BC,94BA
1,E5AE99,C3E8,9288
1,E7AA81,C6CD,93CB
1,E981BF,C8F2,94F0
1,E7B7AF,B0DE,88DC
1,E68EA1,BACE,8DCC
1,E6BD9F,B3E3,8A83
1,E8AD98,BCB1,8EAF
1,E996B2,B1DC,897B
1,E5A6BB,BACA,8DC8
1,E8BCB8,CDA2,9741
1,E699AF,B7CA,8C69
1,E78DB2,B3CD,8A6C
1,E8BE9E,BCAD,8EAB
1,E699AE,C9E1,9581
1,E69CAD,BBA5,8E44
1,E9BE8D,CEB6,97B4
1,E7B499,BBE6,8E86
1,E8A2AB,C8EF,94ED
1,E58AB4,CFAB,984A
1,E69E9A,CBE7,9687
1,E78886,C7FA,949A
1,E5AF84,B4F3,8AF1
1,E6B296,B2AD,89AB
1,E9BABB,CBE3,9683
1,E5BE92,C5CC,936B
1,E98788,BCE1,8EDF
1,E8888E,BCCB,8EC9
1,E5ADA3,B5A8,8B47
1,E68EB2,B7C7,8C66
1,E68F8F,C9C1,9560
1,E68EA2,C3B5,9254
1,E4BC91,B5D9,8B78
1,E58A9F,B8F9,8CF7
1,E5B883,C9DB,957A
1,E998BF,B0A4,88A2
1,E8B2A8,B2DF,89DD
1,E2809C,A1C8,8167
1,E981A9,C5AC,934B
1,E5BFA0,C3E9,9289
1,E8A9B3,BEDC,8FDA
1,E7B5A6,B5EB,8B8B
1,E58099,B8F5,8CF3
1,E9A786,B6EE,8BEC
1,E6B6B2,B1D5,8974
1,E786B1,C7AE,944D
1,E6A084,B1C9,8968
1,E5AEA3,C0EB,90E9
1,E68A9C,C8B4,94B2
1,E585B7,B6F1,8BEF
1,E4BB99,C0E7,90E5
1,E589AF,C9FB,959B
1,E7B5B6,C0E4,90E2
1,E5909B,B7AF,8C4E
1,E7AC91,BED0,8FCE
1,E8A8B1,B5F6,8B96
1,E99A86,CEB4,97B2
1,E680AA,B2F8,89F6
1,E8BF94,CAD6,95D4
1,E4B9B1,CDF0,9790
1,E68BA0,B5F2,8B92
1,E58987,C2A7,91A5
1,E999BA,B8B1,8CAF
1,E58584,B7BB,8C5A
1,E7B494,BDE3,8F83
1,E4BA9C,B0A1,889F
1,E5A898,CCBC,96BA
1,E4BB81,BFCE,906D
1,E580A4,C3CD,926C
1,D0B8,A7DA,8479
1,EFBC8D,3F,3F
1,E29886,A1F9,8199
1,E689B1,B0B7,88B5
1,E9818A,CDB7,9756
1,E68391,CFC7,9866
1,E5B985,C9FD,959D
1,E79FA2,CCF0,96EE
1,E59CA7,B0B5,88B3
1,E7AB9C,CEB5,97B3
1,E5BEB4,C4A7,92A5
1,E6B381,B6B7,8BB5
1,E5A4A2,CCB4,96B2
1,E6A19C,BAF9,8DF7
1,E5AFA9,BFB3,9052
1,E5969C,B4EE,8AEC
1,E9AEAE,C1AF,914E
1,E699BA,C3D2,9271
1,E59FBC,BAEB,8DE9
1,E689BF,BEB5,8FB3
1,E59FB7,BCB9,8EB7
1,E5A7BF,BBD1,8E70
1,E695B5,C5A8,9347
1,E69887,BEBA,8FB8
1,E996A3,B3D5,8A74
1,E58DB0,B0F5,88F3
1,E69C8D,C9FE,959E
1,E5AE85,C2F0,91EE
1,E68D95,CAE1,95DF
1,E59684,C1B1,9150
1,E59C8F,B7F7,8C97
1,E68FAE,B4F8,8AF6
1,E593B2,C5AF,934E
1,E28095,3F,3F
1,E9A088,BFDC,907B
1,E985B8,BBC0,8E5F
1,E6938D,C1E0,9180
1,E7A8B2,B0F0,88EE
1,E5A38A,B2F5,89F3
1,E688BB,CCE1,96DF
1,E7BF8C,CDE2,9782
1,E5B9BC,CDC4,9763
1,E5A5A5,B1FC,899C
1,E8A69A,B3D0,8A6F
1,E99689,CAC4,95C2
1,E6B996,B8D0,8CCE
1,E5B9B9,B4B4,8AB2
1,E99BB2,B1C0,895F
1,E685B6,B7C4,8C63
1,E8A395,CDB5,9754
1,E7AF84,C8CF,94CD
1,E79B9B,C0B9,90B7
1,E8B2BB,C8F1,94EF
1,E6B89B,B8BA,8CB8
1,E6BB85,CCC7,96C5
1,E68A97,B9B3,8D52
1,E69797,B4FA,8AF8
1,E781BD,BAD2,8DD0
1,E8BBBD,B7DA,8C79
1,E9BB84,B2AB,89A9
1,E5A7AB,C9B1,9550
1,E7BDAA,BAE1,8DDF
1,E4BBB2,C3E7,9287
1,E98094,C5D3,9372
1,E69AA6,CEF1,97EF
1,E5BE85,C2D4,91D2
1,E59BA0,B0F8,88F6
1,E99A9C,BEE3,8FE1
1,E695A3,BBB6,8E55
1,E6AF9B,CCD3,96D1
1,E69D89,BFF9,9099
1,E690AD,C5EB,938B
1,E6B8AC,C2AC,91AA
1,E7B4B9,BED2,8FD0
1,E681AF,C2A9,91A7
1,E8AA95,C3C2,9261
1,E4B8A6,CAC2,95C0
1,E5B7A1,BDE4,8F84
1,E7BDB2,BDF0,8F90
1,E88081,CFB7,9856
1,E88D92,B9D3,8D72
1,E4BB8F,CAA9,95A7
1,E5BC81,CADB,95D9
1,E78987,CAD2,95D0
1,E98592,BCF2,8EF0
1,E5B7A8,B5F0,8B90
1,E4BF8A,BDD3,8F72
1,E7A798,C8EB,94E9
1,E99BAA,C0E3,90E1
1,D0B5,A7D6,8475
1,E585BC,B7F3,8C93
1,E9A198,B4EA,8AE8
1,E7A48E,C1C3,9162
1,E99191,B4D5,8AD3
1,E884B1,C3A6,9245
1,E5A591,B7C0,8C5F
1,E7B884,C6EC,93EA
1,E99C87,BFCC,906B
1,E9AD9A,B5FB,8B9B
1,E58092,C5DD,937C
1,E28792,A2CD,81CB
1,E6AEBF,C5C2,9361
1,E690BA,B7C8,8C67
1,E69591,B5DF,8B7E
1,E99AA3,CED9,97D7
1,E8A5B2,BDB1,8F50
1,E6B2BC,BEC2,8FC0
1,E8B79D,B5F7,8B97
1,E7B7B4,CEFD,97FB
1,E9A88E,B5B3,8B52
1,E589A3,B7F5,8C95
1,E691A9,CBE0,9680
1,E590B9,BFE1,9081
1,E686B2,B7FB,8C9B
1,E695B7,C9DF,957E
1,E58484,B2AF,89AD
1,E5BE8B,CEA7,97A5
1,E6BEA4,DFB7,E056
1,E4BCAF,C7EC,948C
1,E5B98C,CBDA,9679
1,E98086,B5D5,8B74
1,D0BD,A7DF,847E
1,E38088,A1D2,8171
1,EFBC9F,A1A9,8148
1,E38089,A1D3,8172
1,E6B585,C0F5,90F3
1,E6BF80,B7E3,8C83
1,E88C82,CCD0,96CE
1,E99C8A,CEEE,97EC
1,E582B7,BDFD,8F9D
1,E5B88C,B4F5,8AF3
1,E9B6B4,C4E1,92DF
1,E78AAF,C8C8,94C6
1,E4BCBC,BBF7,8E97
1,E79B8A,B1D7,8976
1,E98A83,BDC6,8F65
1,E69FB3,CCF8,96F6
1,E7A681,B6D8,8BD6
1,E7B7A0,C4F9,92F7
1,E698A7,CBE6,9686
1,E59BBA,B8C7,8CC5
1,E887A8,CED7,97D5
1,E99B85,B2ED,89EB
1,E381AC,A4CC,82CA
1,E8A38F,CEA2,97A0
1,E887B3,BBEA,8E8A
1,E982A3,C6E1,93DF
1,E5AD9D,B9A7,8D46
1,E8A1A3,B0E1,88DF
1,E79787,BEC9,8FC7
1,E6BCA2,B4C1,8ABF
1,E5BAAD,C4ED,92EB
1,E5A080,CBD9,9678
1,E8A8AA,CBAC,964B
1,E69B96,DBA3,9E42
1,E58DB3,C2A8,91A6
1,E6A2A8,CDFC,979C
1,E5A6B9,CBE5,9685
1,E5A1A9,B1F6,8996
1,E788B5,BCDF,8EDD
1,E6B5A9,B9C0,8D5F
1,E9ACBC,B5B4,8B53
1,E4B898,B5D6,8B75
1,E68E9B,B3DD,8A7C
1,D180,A7E2,8482
1,E7B4A2,BAF7,8DF5
1,E586AC,C5DF,937E
1,E789A7,CBD2,9671
1,E69893,B0D7,88D5
1,E8BB8C,B5B0,8B4F
1,E9989C,C9EC,958C
1,E8BA8D,CCF6,96F4
1,E6BD9C,C0F8,90F6
1,E88CB6,C3E3,9283
1,E9A3AF,C8D3,94D1
1,E78DA3,BDC3,8F62
1,E68BA1,B3C8,8A67
1,E4BCB8,BFAD,904C
1,E69DAF,C7D5,9474
1,E6ACA7,B2A4,89A2
1,E79691,B5BF,8B5E
1,E7A596,C1C4,9163
1,E69AB4,CBBD,965C
1,E4BEB5,BFAF,904E
1,E8A9A9,BBED,8E8D
1,E58DB1,B4ED,8AEB
1,E9A194,B4E9,8AE7
1,E58DA0,C0EA,90E8
1,E7B791,CED0,97CE
1,E699B4,C0B2,90B0
1,E6B7B7,BAAE,8DAC
1,E5A789,BBD0,8E6F
1,E99CB2,CFAA,9849
1,E5B1A4,C1D8,9177
1,EFBD9C,A1C3,8162
1,E784BC,BEC6,8FC4
1,D181,A7E3,8483
1,E6B2B9,CCFD,96FB
1,E88289,C6F9,93F7
1,E5AFBF,BCF7,8EF5
1,E58F8C,C1D0,916F
1,E9A790,C3F3,9293
1,E88A9D,BCC7,8EC5
1,E588B8,B7F4,8C94
1,E88CA8,B0F1,88EF
1,E5A181,CEDD,97DB
1,E3819C,A4BC,82BA
1,E588BB,B9EF,8D8F
1,E6988C,BEBB,8FB9
1,E9879D,BFCB,906A
1,E99BA8,B1AB,894A
1,E5A5AA,C3A5,9244
1,E58BA4,B6D0,8BCE
1,E68891,B2E6,89E4
1,E8AAA0,C0BF,90BD
1,E88897,CADE,95DC
1,E7A082,BABD,8DBB
1,E2978F,A1FC,819C
1,E7ABA5,C6B8,93B6
1,E78AAC,B8A4,8CA2
1,E7B48D,C7BC,945B
1,E8B2B7,C7E3,9483
1,E881B4,C4B0,92AE
1,E7A4BC,CEE9,97E7
1,E99BB7,CDEB,978B
1,E6B9AF,C5F2,9392
1,E7BFBC,CDE3,9783
1,E98083,C6A8,93A6
1,E59D87,B6D1,8BCF
1,E5AE8F,B9A8,8D47
1,E794B3,BFBD,905C
1,E69F93,C0F7,90F5
1,E69A97,B0C5,88C3
1,E9A18D,B3DB,8A7A
1,E89E8D,CDBB,975A
1,E58E9A,B8FC,8CFA
1,E8AB8B,C0C1,90BF
1,E58B87,CDA6,9745
1,E8A88E,C6A4,93A2
1,E8B39B,BBBF,8E5E
1,E6A285,C7DF,947E
1,E6BDAE,C4AC,92AA
1,E689B9,C8E3,94E1
1,E381B1,A4D1,82CF
1,E7B6B2,CCD6,96D4
1,E7A982,CAE6,95E4
1,E999A3,BFD8,9077
1,E9AAA8,B9FC,8D9C
1,E7B6B1,B9CB,8D6A
1,E88F9C,BADA,8DD8
1,E99AA0,B1A3,8942
1,E69EB6,B2CD,89CB
1,E590A6,C8DD,94DB
1,E68A98,C0DE,90DC
1,E594B1,BEA7,8FA5
1,E5A495,CDBC,975B
1,E5BDA9,BACC,8DCA
1,E5A587,B4F1,8AEF
1,E5A9A6,C9D8,9577
1,E586B7,CEE4,97E2
1,E5ADAB,C2B9,91B7
1,E98090,C3E0,9280
1,E6BF83,C7BB,945A
1,E5AF9B,B4B2,8AB0
1,E7A88E,C0C7,90C5
1,E6A0B8,B3CB,8A6A
1,E7B6AD,B0DD,88DB
1,E28094,A1BD,815C
1,E8B2AB,B4D3,8AD1
1,E4BD99,CDBE,975D
1,E5858D,CCC8,96C6
1,E8BC9D,B5B1,8B50
1,E8BF8E,B7DE,8C7D
1,E887B4,C3D7,9276
1,E8A893,B7B1,8C50
1,E68D9C,C1DC,917B
1,E7B792,BDEF,8F8F
1,E7AD94,C5FA,939A
1,E7BFBB,CBDD,967C
1,E69F94,BDC0,8F5F
1,E5BA8A,BEB2,8FB0
1,E6ACA0,B7E7,8C87
1,E4BA80,B5B5,8B54
1,D0BA,A7DC,847B
1,D0B2,A7D3,8472
1,E5BFAB,B2F7,89F5
1,E4B983,C7B5,9454
1,E899AB,C3EE,928E
1,E88987,C4FA,92F8
1,E78783,C7B3,9452
1,E68190,B6B2,8BB0
1,E7B485,B9C8,8D67
1,E8AA98,CDB6,9755
1,E697A2,B4FB,8AF9
1,E68ABC,B2A1,899F
1,E88BA6,B6EC,8BEA
1,E4BA92,B8DF,8CDD
1,E4B8B9,C3B0,924F
1,E7BE85,CDE5,9785
1,E5BCA5,CCEF,96ED
1,E98EAE,C4C3,92C1
1,E8B1AA,B9EB,8D8B
1,E590B8,B5DB,8B7A
1,D182,A7E4,8484
1,E88595,CFD3,9872
1,E6B3B0,C2D9,91D7
1,E5B2B3,B3D9,8A78
1,E5B7B1,B8CA,8CC8
1,E8AA89,CDC0,975F
1,E7B0A1,B4CA,8AC8
1,E7ACA0,B3DE,8A7D
1,E69198,C5A6,9345
1,E695AC,B7C9,8C68
1,E7828E,B1EA,898A
1,E581B5,C4E5,92E3
1,E58BB2,B7AE,8C4D
1,E4BDB3,B2C2,89C0
1,E8AAA4,B8ED,8CEB
1,E68A9E,C2F2,91F0
1,E88FB1,C9A9,9548
1,E69E9D,BBDE,8E7D
1,E8A8B4,C1CA,9169
1,E594AF,CDA3,9742
1,E5B09A,BEB0,8FAE
1,E7A590,CDB4,9753
1,E6BB9D,C2EC,91EA
1,E5B9A1,C8A8,94A6
1,E88F8A,B5C6,8B65
1,D0BB,A7DD,847C
1,E6958F,C9D2,9571
1,E8ADB2,BEF9,8FF7
1,E6B88B,BDC2,8F61
1,E381BD,A4DD,82DB
1,E6A183,C5ED,938D
1,E5BCB1,BCE5,8EE3
1,E7B981,C8CB,94C9
1,E7B8AE,BDCC,8F6B
1,E8A7A6,BFA8,9047
1,E9A3BE,BEFE,8FFC
1,E8BC94,CAE5,95E3
1,E5A293,CAE8,95E6
1,E6B299,BABB,8DB9
1,E6898D,BACD,8DCB
1,EFBDA5,8EA5,A5
1,E8B29E,C4E7,92E5
1,E6908D,C2BB,91B9
1,E7B9B0,B7AB,8C4A
1,E98FA1,B6C0,8BBE
1,E6AE8A,BCEC,8EEA
1,E590BE,B8E3,8CE1
1,E99984,C9ED,958D
1,E58EB3,B8B7,8CB5
1,E68C91,C4A9,92A7
1,E8BC83,B3D3,8A72
1,E5B1A5,CDFA,979A
1,E58B9F,CAE7,95E5
1,E69D9F,C2AB,91A9
1,E581B6,B6F6,8BF4
1,E5A194,C5E3,9383
1,E7AD8B,B6DA,8BD8
1,E5808D,C7DC,947B
1,E6A083,C6CA,93C8
1,E5B081,C9F5,9595
1,E58692,CBC1,9660
1,E69D8E,CDFB,979B
1,E981A3,B8AF,8CAD
1,E6A097,B7AA,8C49
1,E8B2AC,C0D5,90D3
1,E6ADAF,BBF5,8E95
1,E884B3,C7BE,945D
1,E7899B,B5ED,8B8D
1,E7B5A1,CDED,978D
1,E5899B,B9E4,8D84
1,E4B9B3,C6FD,93FB
1,E59889,B2C5,89C3
1,E5A793,C0AB,90A9
1,E5A381,CAC9,95C7
1,E6A38B,B4FD,8AFB
1,E381B7,A4D7,82D5
1,E58480,B5B7,8B56
1,E58880,C5E1,9381
1,E7B881,B1EF,898F
1,E68E92,C7D3,9472
1,E69C97,CFAF,984E
1,E6B0B7,C9B9,9558
1,E6B5AE,C9E2,9582
1,E697AD,B0B0,88AE
1,E9A792,B6F0,8BEE
1,E79591,C8AA,94A8
1,EFBC8C,A1A4,8143
1,E7AD91,C3DE,927D
1,E79CBC,B4E3,8AE1
1,E68AB1,CAFA,95F8
1,E69F84,CAC1,95BF
1,E9ABAA,C8B1,94AF
1,E5BA95,C4EC,92EA
1,E68B93,C2F3,91F1
1,E88DB7,B2D9,89D7
1,E98185,C3D9,9278
1,E79B97,C5F0,9390
1,E58585,BDBC,8F5B
1,E9A082,C4BA,92B8
1,E592B2,BAE9,8DE7
1,E59EA3,B3C0,8A5F
1,E6968E,BAD8,8DD6
1,E8B3A2,B8AD,8CAB
1,E6B49E,C6B6,93B4
1,E586A0,B4A7,8AA5
1,E98E8C,B3F9,8A99
1,E88AB3,CBA7,9646
1,E5B08A,C2BA,91B8
1,E7B78A,B6DB,8BD9
1,E6A2B0,B3A3,8A42
1,E5BE81,C0AC,90AA
1,E4BC8F,C9FA,959A
1,E5BF8D,C7A6,9445
1,E989B1,B9DB,8D7A
1,E5A2B3,CAAF,95AD
1,E98284,B4D4,8AD2
1,E999B0,B1A2,8941
1,E68995,CAA7,95A5
1,E588B0,C5FE,939E
1,E5BA84,BEB1,8FAF
1,E8A897,C2F7,91F5
1,E8AAB0,C3AF,924E
1,E69689,C0C6,90C4
1,E5BDB0,BEB4,8FB2
1,E59490,C5E2,9382
1,E5B68B,C5E8,9388
1,E68B9B,BEB7,8FB5
1,E692A4,C5B1,9350
1,E5BEB9,C5B0,934F
1,E9A3B2,B0FB,88F9
1,E58C85,CAF1,95EF
1,E58D88,B8E1,8CDF
1,E7AEB1,C8A2,94A0
1,E8839E,CBA6,9645
1,E7AF87,CAD3,95D1
1,E6BB8B,BCA2,8EA0
1,E8A687,C7C6,9465
1,E782AD,C3BA,9259
1,E9B3B4,CCC4,96C2
1,E5B4A9,CAF8,95F6
1,E5B3B0,CAF6,95F4
1,E5A699,CCAF,96AD
1,E7AA93,C1EB,918B
1,E29885,A1FA,819A
1,E781AF,C5F4,9394
1,E5A696,CDC5,9764
1,E59BB0,BAA4,8DA2
1,E7B4AB,BBE7,8E87
1,E296A0,A2A3,81A1
1,E5839A,CEBD,97BB
1,E69E90,C0CF,90CD
1,E582BE,B7B9,8C58
1,E58D93,C2EE,91EC
1,E6A182,B7CB,8C6A
1,E589A4,BADE,8DDC
1,E5BE84,B7C2,8C61
1,E69AAE,CAEB,95E9
1,E88D98,C1F1,9191
1,E5B9BB,B8B8,8CB6
1,E8BD84,B3ED,8A8D
1,E6B5AA,CFB2,9851
1,E8AC9D,BCD5,8ED3
1,E8B186,C6A6,93A4
1,E5A682,C7A1,9440
1,E58DB4,B5D1,8B70
1,E79AAE,C8E9,94E7
1,E5AA9B,C9B2,9551
1,E588BA,BBC9,8E68
1,E6B288,C4C0,92BE
1,E88488,CCAE,96AC
1,E8A19D,BED7,8FD5
1,E7B8A6,BDC4,8F63
1,E5A881,B0D2,88D0
1,E7A89A,C3D5,9274
1,E98E96,BABF,8DBD
1,E68192,B9B1,8D50
1,EFBC86,A1F5,8195
1,E7AD92,C5FB,939B
1,E9BA97,CEEF,97ED
1,E5A589,CAF4,95F2
1,E8BBB8,BCB4,8EB2
1,E7A1AC,B9C5,8D64
1,E5AB8C,B7F9,8C99
1,E5BCA6,B8B9,8CB7
1,E5B9B2,B4B3,8AB1
1,E8BFAB,C7F7,9497
1,E98BBC,B9DD,8D7C
1,E98A85,C6BC,93BA
1,E5A1BE,BDCE,8F6D
1,E69F8F,C7F0,9490
1,E6B7B3,BDDF,8F7E
1,E68892,B2FC,89FA
1,E59D8A,CBB7,9656
1,E8B88F,C6A7,93A5
1,E79C8B,B4C7,8AC5
1,E7B48B,CCE6,96E4
1,E58F88,CBF4,9694
1,E68BB3,B7FD,8C9D
1,E5BEAE,C8F9,94F7
1,E78CAB,C7AD,944C
1,E59593,B7BC,8C5B
1,E78BAD,B6B9,8BB7
1,E5868A,BAFD,8DFB
1,E88F85,BFFB,909B
1,E795BF,B5A6,8B45
1,E5BA8F,BDF8,8F98
1,E58395,CBCD,966C
1,E5858B,B9EE,8D8E
1,E78D84,B9F6,8D96
1,E697AC,BDDC,8F7B
1,E59F8B,CBE4,9684
1,E682A3,B4B5,8AB3
1,E5BE80,B1FD,899D
1,E7A5A5,BECD,8FCB
1,E6BB91,B3EA,8A8A
1,E88487,CFC6,9865
1,E4BAAD,C4E2,92E0
1,E8B3BC,B9D8,8D77
1,E893AE,CFA1,9840
1,E59182,CFA4,9843
1,E59C8B,D4A2,9AA0
1,E7BF94,E6C6,E3C4
1,E8AC80,CBC5,9664
1,E8BFB7,CCC2,96C0
1,E7B6BE,B0BD,88BB
1,E6A384,B4FE,8AFC
1,E6AF92,C6C7,93C5
1,EFBC91,A3B1,8250
1,E699B6,BEBD,8FBB
1,E8B2A2,B9D7,8D76
1,E8A8BA,BFC7,9066
1,E6A191,B7AC,8C4B
1,E892B8,BEF8,8FF6
1,E6B6AF,B3B6,8A55
1,E587BD,C8A1,949F
1,E99ABB,C0C9,90C7
1,E6B4B2,BDA7,8F46
1,E9AD82,BAB2,8DB0
1,E891AC,C1F2,9192
1,E4BF97,C2AF,91AD
1,E8998E,B8D7,8CD5
1,E68092,C5DC,937B
1,E69FB4,BCC6,8EC4
1,E6A190,B6CD,8BCB
1,E5B590,CDF2,9792
1,E6BC81,B5F9,8B99
1,E8A28B,C2DE,91DC
1,E68BAC,B3E7,8A87
1,E8B6A3,BCF1,8EEF
1,E999B5,CECD,97CB
1,E898AD,CDF6,9796
1,E78E84,B8BC,8CBA
1,E7A381,BCA7,8EA5
1,E692B2,CBD0,966F
1,E7A589,BBE3,8E83
1,E69697,C5CD,936C
1,E59389,BAC8,8DC6
1,E686B6,B2B1,89AF
1,E4BAAE,CEBC,97BA
1,E7A9B4,B7EA,8C8A
1,E4B999,B2B5,89B3
1,E8AD9C,C9E8,9588
1,E79A86,B3A7,8A46
1,E58FA5,B6E7,8BE5
1,E78BA9,BCED,8EEB
1,E8919B,B3EB,8A8B
1,E68F9A,CDC8,9767
1,E59189,B8E2,8CE0
1,E7B3B8,BBE5,8E85
1,E7A59D,BDCB,8F6A
1,E7919E,BFF0,9090
1,E7A3A8,CBE1,9681
1,E588B7,BAFE,8DFC
1,E69BBD,C1BE,915D
1,E6B889,BEC4,8FC2
1,E28099,A1C7,8166
1,E6A392,CBC0,965F
1,E7AFA0,BCC4,8EC2
1,E7AE87,B2D5,89D3
1,E5B8B3,C4A2,92A0
1,E6A281,CEC2,97C0
1,E6B497,C0F6,90F4
1,E7ABA3,BDD7,8F76
1,E6ACB2,CDDF,977E
1,E9A195,B8B2,8CB0
1,E7979B,C4CB,92C9
1,E8A882,C4FB,92F9
1,E6829F,B8E7,8CE5
1,E581BD,B5B6,8B55
1,E79CA0,CCB2,96B0
1,E8B88A,CDD9,9778
1,E8A382,CEF6,97F4
1,E885B9,CAA2,95A0
1,E5B0BB,BFAC,904B
1,E6858E,BFB5,9054
1,E9B7B9,C2EB,91E9
1,E4BBB0,B6C4,8BC2
1,D0B4,A7D5,8474
1,E9A3BC,BBF4,8E94
1,E78B99,C1C0,915F
1,E88F8C,B6DD,8BDB
1,E5B08B,BFD2,9071
1,E8AC8E,C6E6,93E4
1,E4BEAF,B8F4,8CF2
1,E981B7,C1AB,914A
1,E6B3B3,B1CB,896A
1,E99CA7,CCB8,96B6
1,E88090,C2D1,91CF
1,E68E98,B7A1,8C40
1,E68AAB,C8E4,94E2
1,E381B4,A4D4,82D2
1,E682B2,C8E1,94DF
1,EFBC92,A3B2,8251
1,E685AE,CEB8,97B6
1,E68CBF,C1DE,917D
1,E59CAD,B7BD,8C5C
1,E89684,C7F6,9496
1,E6B38A,C7F1,9491
1,E5B089,B0D3,88D1
1,E789A1,B2B4,89B2
1,E892B2,B3F7,8A97
1,E6B584,BEF4,8FF2
1,E68B92,B5F1,8B91
1,E8A9B0,B5CD,8B6C
1,E790B4,B6D7,8BD5
1,E9A1A7,B8DC,8CDA
1,E68A91,CDDE,977D
1,E6B6BC,CEC3,97C1
1,E8BCA9,C7DA,9479
1,E68B9D,C7D2,9471
1,E9A892,C1FB,919B
1,E5AF9D,BFB2,9051
1,E5B18A,C6CF,93CD
1,E8B2B8,C2DF,91DD
1,E7A291,C8EA,94E8
1,E882A5,C8EE,94EC
1,E5809F,BCDA,8ED8
1,E29481,A8AC,84AA
1,E69983,B9B8,8D57
1,E583A7,C1CE,916D
1,E5BC93,B5DD,8B7C
1,E99B87,B8DB,8CD9
1,E896A6,C1A6,9145
1,E89887,C1C9,9168
1,E999A5,B4D9,8AD7
1,E980AE,C2E1,91DF
1,E8BEB0,C3A4,9243
1,E6978B,C0FB,90F9
1,E99A94,B3D6,8A75
1,E697A8,BBDD,8E7C
